지역,확진일,확진자수
강동구,2020-08-28,2
강동구,2020-08-29,1
강동구,2020-08-30,2
강동구,2020-08-31,2
강동구,2020-09-01,4
강동구,2020-09-02,7
강동구,2020-09-03,3
강동구,2020-09-04,3
강동구,2020-09-05,5
강동구,2020-09-06,2
강동구,2020-09-07,1
강동구,2020-09-08,2
강동구,2020-09-09,2
강동구,2020-09-10,1
강동구,2020-09-11,1
강동구,2020-09-12,1
강동구,2020-09-13,1
강동구,2020-09-14,1
강동구,2020-09-16,2
강동구,2020-09-22,1
강동구,2020-09-24,1
강동구,2020-09-26,2
강동구,2020-09-27,1
강동구,2020-09-30,1
강동구,2020-10-04,2
강동구,2020-10-07,1
강동구,2020-10-10,1
강동구,2020-10-11,2
강동구,2020-10-14,1
강동구,2020-10-15,2
강동구,2020-10-16,2
강동구,2020-10-17,1
강동구,2020-10-20,1
강동구,2020-10-21,1
강동구,2020-10-22,1
강동구,2020-10-26,1
강동구,2020-10-27,1
강동구,2020-10-29,1
강동구,2020-10-30,1
강동구,2020-11-01,1
강동구,2020-11-03,1
강동구,2020-11-04,1
강동구,2020-11-07,3
강동구,2020-11-08,1
강동구,2020-11-09,2
강동구,2020-11-10,1
강동구,2020-11-11,1
강동구,2020-11-12,1
강동구,2020-11-14,5
강동구,2020-11-16,3
강동구,2020-11-17,1
강동구,2020-11-18,6
강동구,2020-11-19,2
강동구,2020-11-20,4
강동구,2020-11-21,6
강동구,2020-11-22,4
강동구,2020-11-23,5
강동구,2020-11-24,4
강동구,2020-11-25,5
강동구,2020-11-26,2
강동구,2020-11-27,3
강동구,2020-11-28,5
강동구,2020-11-29,2
강동구,2020-11-30,5
강동구,2020-12-01,9
강동구,2020-12-02,8
강동구,2020-12-03,3
강동구,2020-12-04,8
강동구,2020-12-05,10
강동구,2020-12-06,5
강동구,2020-12-07,11
강동구,2020-12-08,12
강동구,2020-12-09,9
강동구,2020-12-10,12
강동구,2020-12-11,12
강동구,2020-12-12,17
강동구,2020-12-13,21
강동구,2020-12-14,9
강동구,2020-12-15,18
강동구,2020-12-16,19
강동구,2020-12-17,17
강동구,2020-12-18,13
강동구,2020-12-19,9
강동구,2020-12-20,5
강동구,2020-12-21,4
강동구,2020-12-22,7
강동구,2020-12-23,5
강동구,2020-12-24,10
강동구,2020-12-25,11
강동구,2020-12-26,4
강동구,2020-12-27,15
강동구,2020-12-28,3
강동구,2020-12-29,6
강동구,2020-12-30,7
강동구,2020-12-31,5
강동구,2021-01-01,10
강동구,2021-01-02,12
강동구,2021-01-03,7
강동구,2021-01-04,11
강동구,2021-01-05,1
강동구,2021-01-06,10
강동구,2021-01-07,9
강동구,2021-01-08,4
강동구,2021-01-09,10
강동구,2021-01-10,7
강동구,2021-01-11,11
강동구,2021-01-12,4
강동구,2021-01-13,3
강동구,2021-01-14,10
강동구,2021-01-15,7
강동구,2021-01-16,1
강동구,2021-01-17,4
강동구,2021-01-18,3
강동구,2021-01-19,4
강동구,2021-01-20,3
강동구,2021-01-21,4
강동구,2021-01-22,7
강동구,2021-01-23,1
강동구,2021-01-24,7
강동구,2021-01-25,5
강동구,2021-01-26,2
강동구,2021-01-27,4
강동구,2021-01-28,2
강동구,2021-01-29,7
강동구,2021-01-30,7
강동구,2021-01-31,2
강동구,2021-02-01,6
강동구,2021-02-02,10
강동구,2021-02-03,6
강동구,2021-02-04,1
강동구,2021-02-05,4
강동구,2021-02-06,4
강동구,2021-02-07,2
강동구,2021-02-08,1
강동구,2021-02-09,10
강동구,2021-02-10,13
강동구,2021-02-11,18
강동구,2021-02-12,7
강동구,2021-02-13,1
강동구,2021-02-14,13
강동구,2021-02-15,4
강동구,2021-02-16,9
